Payer,Policy Category,Policy Type,Code,Code Description,Service Type,Policy or Diagnosis detail,Source,Policy,Annual Claim Paid
United Healthcare,Clinical,Coding Guidline,,,IP,Sepsis,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/clinical-guidelines/sepsis.pdf,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/clinical-guidelines/sepsis.pdf,"$50,000,000"
United Healthcare,Reimnbursement,NCCI,70450,Ct Head/Brain W/O Contrast Material,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,000,000"
United Healthcare,Reimnbursement,NCCI,94002,Ventilation Assist & Mgmt Inpatient 1St Day,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,255,174"
United Healthcare,Reimnbursement,NCCI,80048,Basic Metabolic Panel Calcium Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,819,081"
United Healthcare,Reimnbursement,NCCI,94003,Ventilation Assist & Mgmt Inpatient Ea Sbsq Da,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,079,787"
United Healthcare,Reimnbursement,NCCI,96523,Irrigaj Implntd Venous Access Drug Delivery Syst,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,017,791"
United Healthcare,Reimnbursement,NCCI,80076,Hepatic Function Panel,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,241,383"
United Healthcare,Reimnbursement,NCCI,G0472,Hep c screen high risk/other,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,753,218"
United Healthcare,Reimnbursement,NCCI,84480,Assay Of Triiodothyronine T3 Total Tt3,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,372,077"
United Healthcare,Reimnbursement,NCCI,94010,Spmtry W/Vc Expiratory Flo W/Wo Mxml Vol Vntj,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,201,840"
