Payer,Policy Category,Policy Type,Code,Code Description,Service Type,Policy or Diagnosis detail,Source,Policy,Annual Claim Paid,Category,,,,,,
United Healthcare,Clinical,Coding Guidline,,,IP,Sepsis,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/clinical-guidelines/sepsis.pdf,https://www.uhcprovider.com/content/dam/provider/docs/public/policies/clinical-guidelines/sepsis.pdf,"$50,000,000 ",Facilities,,,,,,
United Healthcare,Reimnbursement,NCCI,70450,Ct Head/Brain W/O Contrast Material,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,000,000 ",Radiology,,,,,,
United Healthcare,Reimnbursement,NCCI,94002,Ventilation Assist & Mgmt Inpatient 1St Day,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,255,174 ",Facilities,,,,,,
United Healthcare,Reimnbursement,NCCI,80048,Basic Metabolic Panel Calcium Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,819,081 ",Laboratory,,,,,,
United Healthcare,Reimnbursement,NCCI,94003,Ventilation Assist & Mgmt Inpatient Ea Sbsq Da,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,079,787 ",Facilities,,,,,,
United Healthcare,Reimnbursement,NCCI,96523,Irrigaj Implntd Venous Access Drug Delivery Syst,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,017,791 ",Drugs,,,,,,
United Healthcare,Reimnbursement,NCCI,80076,Hepatic Function Panel,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,241,383 ",Laboratory,,,,,,
United Healthcare,Reimnbursement,NCCI,G0472,Hep c screen high risk/other,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,753,218 ",Medicare Advantage,,,,,,
United Healthcare,Reimnbursement,NCCI,84480,Assay Of Triiodothyronine T3 Total Tt3,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,372,077 ",Laboratory,,,,,,
United Healthcare,Reimnbursement,NCCI,94010,Spmtry W/Vc Expiratory Flo W/Wo Mxml Vol Vntj,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$1,201,840 ",Medicine,,,,,,
United Healthcare,Reimnbursement,NCCI,84153,Assay Of Prostate Specific Antigen Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,831,501 ",Laboratory,,,,,,
United Healthcare,Reimnbursement,NCCI,84436,Assay Of Thyroxine Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,135,486 ",Laboratory,,,,,,
United Healthcare,Reimnbursement,NCCI,86704,Hepatitis B Core Antibody Hbcab Total,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,006,436 ",Laboratory,,,,,,
United Healthcare,Reimnbursement,NCCI,86706,Hepatitis B Surf Antibody Hbsab,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,576,211 ",Laboratory,,,,,,
United Healthcare,Reimnbursement,NCCI,87340,IAAD IA HEPATITIS B SURFACE ANTIGEN,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,600,326 ",Laboratory,,,,,,
United Healthcare,Reimnbursement,NCCI,84479,Thyroid Horm Uptk/Thyroid Hormone Binding Ratio,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$3,235,422 ",Laboratory,,,,,,
United Healthcare,Reimnbursement,NCCI,83550,Iron Binding Capacity,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,249,335 ",Laboratory,,,,,,
United Healthcare,Reimnbursement,NCCI,94760,Noninvasive Ear/Pulse Oximetry Single Deter,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,338,218 ",Medicine,,,,,,
United Healthcare,Reimnbursement,NCCI,94760,Noninvasive Ear/Pulse Oximetry Single Deter,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$2,758,531 ",Medicine,,,,,,
United Healthcare,Reimnbursement,NCCI,76376,3D Rendering W/Interp & Postprocess Supervision,OP,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,071,722 ",Radiology,,,,,,
United Healthcare,Reimnbursement,NCCI,0242U,TRGT GEN SEQ ALYS PNL SOLID ORGN NEO DNA 55-74,Professional,P2P,https://www.cms.gov/medicare/coding-billing/national-correct-coding-initiative-ncci-edits/medicare-ncci-procedure-procedure-ptp-edits,P2P,"$4,206,667 ",Evaluation and Management,,,,,,
